Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100178746;Zalanzo;Ludzki;;;;
100178829;Ketonal Duo;Ludzki;;;;
100178835;Cervarix;Ludzki;;;;
100179020;Galvus;Ludzki;;;;
100179059;Cilan;Ludzki;;;;
100179071;Cilan;Ludzki;;;;
100179088;Exelon;Ludzki;;;;
100179119;Cilan;Ludzki;;;;
100179177;Insuman Comb 15;Ludzki;;;;
100179183;Insuman Comb 25;Ludzki;;;;
100179190;Insuman Comb 50;Ludzki;;;;
100179310;Cliovelle 1 mg/0,5mg tabletki;Ludzki;;;;
100179390;Minirin Melt;Ludzki;;;;
100179409;Agastin 20 mg;Ludzki;;;;
100179450;Minirin Melt;Ludzki;;;;
100179473;Invega;Ludzki;;;;
100179562;Zalasta;Ludzki;;;;
100179579;Zalasta;Ludzki;;;;
100179591;Zalasta;Ludzki;;;;
100179600;Zalasta;Ludzki;;;;
100179616;Zalasta;Ludzki;;;;
100179622;Zalasta;Ludzki;;;;
100179639;Zalasta;Ludzki;;;;
100190888;Olanzapine Teva;Ludzki;;;;
100191132;Ceftriaxon Kabi 1 g;Ludzki;;Zawiesina do wstrzykiwań;;
100192284;Nitresan 10 mg;Ludzki;;;;
100194863;MicardisPlus;Ludzki;;Płyn do stosowania na skórę;;
100194917;Hydroxyzinum Espefa;Ludzki;;;;
100195012;Flumazenil Kabi 0,1 mg/ml roztwór do wstrzykiwań;Ludzki;;;;
100195029;Amoksiklav Quicktab 1000 mg;Ludzki;;;;
100195087;Testosteronum prolongatum Jelfa;Ludzki;;;;
100195118;Paracetamol Aflofarm;Ludzki;;;;
100195153;Tegretol CR 200;Ludzki;;;;
100195160;Tramal;Ludzki;;;;
100195176;Szałwia Fix;Ludzki;;;;
100195182;Symla;Ludzki;;;;
100195354;Szczepionka przeciwgruźlicza BCG 10;Ludzki;;;;
100195390;Extavia;Ludzki;;;;
100195408;Cisplatin - Ebewe;Ludzki;;;;
100195437;Asmanex Twisthaler;Ludzki;;;;
100195450;Driptane;Ludzki;;;;
100195466;Equoral;Ludzki;;;;
100195472;Ethambutol Teva;Ludzki;;;;
100195503;Atenativ;Ludzki;;;;
100195615;Magnevist;Ludzki;;;;
100195644;Neo-Tormentil;Ludzki;;;;
100195673;Avaxim 160 U;Ludzki;;;;
100195704;Metformax SR 500;Ludzki;;;;
100195727;Arlevert;Ludzki;;;;
100195762;Prograf;Ludzki;;;;
100195779;Antithrombin III NF Takeda;Ludzki;;;;
100195791;Nicorette FreshFruit Gum;Ludzki;;;;
100195800;OncoTICE;Ludzki;;;;
100195816;Panzol;Ludzki;;;;
100195822;Panzol;Ludzki;;;;
100195868;Gripex Max;Ludzki;;;;
100195874;Gripex;Ludzki;;;;
100195880;Areplex;Ludzki;;;;
100196046;Engerix B;Ludzki;;;;
100196052;Thalidomide BMS;Ludzki;;;;
100196069;KWIAT GŁOGU FIX;Ludzki;;;;
100196187;NebivoLek;Ludzki;;;;
100196313;Paramax Rapid 500 mg;Ludzki;;;;
100196320;Vidotin;Ludzki;;;;
100196336;Vidotin;Ludzki;;;;
100196448;Abseamed;Ludzki;;;;
100196454;Abseamed;Ludzki;;;;
100196460;Abseamed;Ludzki;;;;
100196477;Abseamed;Ludzki;;;;
100196490;Abseamed;Ludzki;;;;
100196508;Abseamed;Ludzki;;;;
100196514;Abseamed;Ludzki;;;;
100196572;HeliPico;Ludzki;;;;
100196595;Duphalac;Ludzki;;;;
100196626;Imovax Polio;Ludzki;;;;
100196744;Izotziaja;Ludzki;;;;
100196810;Piramil 10 mg;Ludzki;;;;
100196827;Concerta;Ludzki;;;;
100196833;Concerta;Ludzki;;;;
100196879;Zomiren SR;Ludzki;;;;
100196885;Zomiren SR;Ludzki;;;;
100197169;Cezera;Ludzki;;;;
100197198;Bridion;Ludzki;;;;
100197235;Lutenyl;Ludzki;;;;
100197258;Nutriflex Special;Ludzki;;;;
100197293;Yarisen;Ludzki;;;;
100197324;Donesyn;Ludzki;;;;
100197347;Rotarix;Ludzki;;;;
100197399;Amoksiklav;Ludzki;;;;
100197420;Humalog KwikPen;Ludzki;;;;
100197436;Humalog Mix 25 KwikPen;Ludzki;;;;
100197459;Humalog Mix 50 KwikPen;Ludzki;;;;
100197488;Liprolog Mix25 KwikPen;Ludzki;;;;
100197494;Liprolog Mix50 KwikPen;Ludzki;;;;
100197525;MIG;Ludzki;;;;
100197577;Xarelto;Ludzki;;;;
100197583;Esmocard 100 mg/10 ml;Ludzki;;;;
100197985;Ibuprom;Ludzki;;;;
100197991;Ibuprom Sprint;Ludzki;;;;
100198097;Retrovir;Ludzki;;;;
100198105;Relistor;Ludzki;;;;
100198157;Rispolept Consta;Ludzki;;;;
100198298;Liść Senesu;Ludzki;;;;
100198329;Hydrocortisonum AFP;Ludzki;;;;
100198335;Antidol 15;Ludzki;;;;
100198341;Mircera;Ludzki;;;;
100198364;Mircera;Ludzki;;;;
100198430;Mepidont 2% z adrenaliną 1:100.000;Ludzki;;;;
100198447;Mepidont 3%;Ludzki;;;;
100198460;Vaqta 50;Ludzki;;;;
100198482;Intelence;Ludzki;;;;
100198499;Retrovir;Ludzki;;;;
100198520;Apo-Napro;Ludzki;;;;
100198536;Apo-Napro;Ludzki;;;;
100198559;Nutriflex Basal;Ludzki;;;;
100198594;Epimedac 2 mg/ml roztwór do wstrzykiwań;Ludzki;;;;
100198619;Clinimix N17G35E;Ludzki;;;;
100198660;Kora Kruszyny;Ludzki;;;;
100198677;Maść arnikowa;Ludzki;;;;
100198683;Strepsils z mentolem i eukaliptusem;Ludzki;;;;
100198690;Olfen 50;Ludzki;;;;
100198849;Flucofast;Ludzki;;;;
100198878;Ebivol;Ludzki;;;;
100198884;Prenessa;Ludzki;;;;
100198915;Vimpat;Ludzki;;;;
100198921;Monkasta;Ludzki;;;;
100198944;Vimpat;Ludzki;;;;
100198950;Vimpat;Ludzki;;;;
100198967;Monkasta;Ludzki;;;;
100198973;Vimpat;Ludzki;;;;
100198996;Vimpat;Ludzki;;;;
100199079;Montelukast Teva;Ludzki;;;;
100199085;Sertranorm;Ludzki;;;;
100199091;Montelukast Teva;Ludzki;;;;
100199100;Montelukast Teva;Ludzki;;;;
100199116;Sertranorm;Ludzki;;;;
100199286;Nicorette Invisipatch;Ludzki;;;;
100199292;Nicorette Invisipatch;Ludzki;;;;
100199300;Nicorette Invisipatch;Ludzki;;;;
100199441;Bactrazol;Ludzki;;;;
100199458;Neupro;Ludzki;;;;
100199464;Neupro;Ludzki;;;;
100199487;Tevagrastim;Ludzki;;;;
100199493;Ranisan 75 mg;Ludzki;;;;
100199501;Nurofen Zatoki;Ludzki;;;;
100199553;Zioła wzmagające trawienie;Ludzki;;;;
100199560;Dicloberl 50;Ludzki;;;;
100199576;Fluconazole Polfarmex;Ludzki;;;;
100199582;Metajodobenzyloguanidyna 131 I (MIBG- 131 I) do diagnostyki;Ludzki;;;;
100199607;Finaster;Ludzki;;;;
100199613;Kabiven;Ludzki;;;;
100199620;Artelac;Ludzki;;;;
100199642;Figura 1;Ludzki;;;;
100199659;Echinerba;Ludzki;;;;
100199731;Ruta graveolens;Ludzki;;;;
100199777;Robinia Pseudo-Acacia;Ludzki;;;;
100199790;Czopki glicerolowe;Ludzki;;;;
100199814;Zioła przeczyszczające;Ludzki;;;;
100199850;Abrotanum;Ludzki;;;;
100199889;Entus Max;Ludzki;;;;
100199910;Nutriflex Plus;Ludzki;;;;
100199932;Succus Urticae Phytopharm;Ludzki;;;;
100199961;Kora Wierzby;Ludzki;;;;
100199978;Physioneal 40 z glukozą 2,27 w/v 22,7 mg/ml;Ludzki;;;;
100199984;Glukoza;Ludzki;;;;
100199990;Raphacholin plus;Ludzki;;;;
100200032;DTP-Szczepionka błoniczo-tężcowo-krztuścowa adsorbowana;Ludzki;;;;
100200049;Nurofen Plus;Ludzki;;;;
