Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100110613;Asentra;Ludzki;15 mg;Tabletki;;
100114195;Biotum;Ludzki;15 mg;Tabletki;;
100116389;Mononit 60 Retard;Ludzki;15 mg;Kapsułki dojelitowe, twarde;;
100120362;Taclar;Ludzki;15 mg;Tabletki;;
100126471;Liprolog Mix50;Ludzki;15 mg;Tabletki;;
100126666;Somavert;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100126844;Gonal-f;Ludzki;15 mg;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;
100129989;Neurolipon-MIP 600;Ludzki;15 mg;Tabletki o przedłużonym działaniu;;
100141312;Syrop tymiankowy złożony;Ludzki;15 mg;Tabletki;;
100148863;Krwawnik Fix;Ludzki;15 mg;Kapsułki twarde;;
100158838;Undofen Max;Ludzki;15 mg;Tabletki;;
100162745;Nicorette Freshmint Gum;Ludzki;15 mg;Tabletki;;
100166565;Ratiograstim;Ludzki;15 mg;Kapsułki dojelitowe, twarde;;
100180111;Epoetin alfa Hexal;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100191959;Vistabel;Ludzki;15 mg;Tabletki;;
100192114;Adipine;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100193160;Requip-Modutab;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100205058;Corsodyl;Ludzki;15 mg;Tabletki;;
100205271;Lisiprol;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100205590;GlucaGen 1 mg HypoKit;Ludzki;15 mg;Tabletki powlekane;;
100205905;Linomag;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100206997;Nebilenin;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100232210;Plaster na odciski;Ludzki;15 mg;Tabletki powlekane;;
100237058;Myclausen;Ludzki;15 mg;Kapsułki miękkie;;
100237489;Solpadeine;Ludzki;15 mg;Tabletka;;
100241404;Amlomyl;Ludzki;15 mg;Tabletki;;
100241692;Nurofen dla dzieci Junior truskawkowy;Ludzki;15 mg;Roztwór do wstrzykiwań;;
100242792;Fraxiparine;Ludzki;15 mg;Tabletki powlekane;;
100245490;Losartan Hydrochlorothiazyd Krka;Ludzki;15 mg;Tabletki;;
100245566;Rolicyn;Ludzki;15 mg;Roztwór do nakrapiania;;
100248613;Hirobriz Breezhaler;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100251791;Rivastigmine Actavis;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100263653;Hidrasec 30 mg;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100270127;Klabion UNO;Ludzki;15 mg;Tabletka;;
100270883;Desloratadine Actavis;Ludzki;15 mg;Tabletki powlekane;;
100274786;Glukoza;Ludzki;15 mg;Kapsułki twarde;;
100275260;ACC;Ludzki;15 mg;Tabletki powlekane;;
100280887;Rivastigmin NeuroPharma;Ludzki;15 mg;Tabletki powlekane;;
100287286;Aleric Deslo Active;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100288162;Potassium Chloride 0,3% + Glucose 5% B. Braun;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100295280;Zoledronic Acid Hospira;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100295564;Ceurolex SR;Ludzki;15 mg;Proszek do sporządzania koncentratu roztworu do infuzji;;
100296026;Inventum Max;Ludzki;15 mg;Tabletki powlekane;;
100301454;Lewocetyryzyna APTEO MED;Ludzki;15 mg;Tabletki powlekane;;
100302347;Polsart Plus;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100302577;Elicea Q-Tab;Ludzki;15 mg;Tabletka;;
100302703;Cholib;Ludzki;15 mg;Tabletki powlekane;;
100308433;Abseamed;Ludzki;15 mg;Tabletki powlekane;;
100311613;Lojuxta;Ludzki;15 mg;Tabletki;;
100312096;NovoEight;Ludzki;15 mg;Tabletki;;
100323912;Belara;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100327442;Forlax 10 g;Ludzki;15 mg;Roztwór do wstrzykiwań we wstrzykiwaczu;;
100328401;Crohnax;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100329085;Tantum Verde;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100329576;AlleMax;Ludzki;15 mg;Tabletki powlekane;;
100331751;Ketilept retard;Ludzki;15 mg;Tabletki;;
100332006;Abasaglar;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100334554;Benodil;Ludzki;15 mg;Tabletki powlekane;;
100337630;Progesterone Besins;Ludzki;15 mg;Tabletki powlekane;;
100338167;Senshio;Ludzki;15 mg;Tabletki;;
100338233;Groprinosin Baby;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100338368;Montelukast LEK-AM;Ludzki;15 mg;Tabletki;;
100339356;Beriate 2000;Ludzki;15 mg;Tabletki;;
100341778;Egzysta;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100343949;NiQuitin Extra Fresh;Ludzki;15 mg;Tabletki;;
100345150;Pregabalin Zentiva;Ludzki;15 mg;Tabletki powlekane;;
100361686;Aspirin Cardio;Ludzki;15 mg;Kapsułki twarde;;
100362792;Dostinex;Ludzki;15 mg;Tabletki;;
100362830;Imlygic;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100363018;Linefor;Ludzki;15 mg;Tabletki;;
100364414;Oxylaxon;Ludzki;15 mg;Tabletki;;
100368665;Viavardis;Ludzki;15 mg;Tabletki;;
100370107;Amlodipine/Valsartan Mylan;Ludzki;15 mg;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100370700;Lonsurf;Ludzki;15 mg;Tabletki powlekane;;
100371510;Apo-Atorva;Ludzki;15 mg;Tabletki;;
100373979;Rupoclar;Ludzki;15 mg;Tabletki;;
100374950;Elocom;Ludzki;15 mg;Tabletki;;
100375079;Dalfaz Uno;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100375205;Fibryga;Ludzki;15 mg;Tabletki;;
100375323;Betaxomyl;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100375783;Progesteron Adamed;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100376073;Canephron;Ludzki;15 mg;Tabletki;;
100376653;Cuvitru;Ludzki;15 mg;Tabletki;;
100376720;Alcetyr;Ludzki;15 mg;Tabletki;;
100377842;Imatilek;Ludzki;15 mg;Tabletki;;
100378149;Kyprolis;Ludzki;15 mg;Tabletki;;
100379054;Asolfena;Ludzki;15 mg;Tabletki powlekane;;
100379628;Lustork;Ludzki;15 mg;Tabletki powlekane;;
100380815;Methofill;Ludzki;15 mg;Kapsułki twarde;;
100380927;Solpadeine Forte TABS;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100381513;Dextin;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100382412;Levomine mini;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100382671;Momester Nasal;Ludzki;15 mg;Tabletki;;
100383400;Caspofungin Viatris;Ludzki;15 mg;Tabletki;;
100383950;Afstyla;Ludzki;15 mg;Tabletki;;
100387467;Losmina;Ludzki;15 mg;Roztwór do wstrzykiwań;;
100388774;Tadalafil Lilly;Ludzki;15 mg;Tabletki;;
100389549;Calrecia;Ludzki;15 mg;Tabletki;;
100390920;Auroxetyn;Ludzki;15 mg;Zawiesina doustna;;
100391345;Zonisamidum Neuraxpharm;Ludzki;15 mg;Tabletki;;
100395811;Skinoren;Ludzki;15 mg;Tabletki powlekane;;
100399743;Quetiapine Orion;Ludzki;15 mg;Roztwór do wstrzykiwań we wstrzykiwaczu;;
100405828;Daptomycin Accordpharma;Ludzki;15 mg;Tabletki powlekane;;
100406609;Ylpio;Ludzki;15 mg;Tabletki;;
100408241;Levothyroxine Accord;Ludzki;15 mg;Roztwór do wstrzykiwań;;
100409329;Divigel 0,1%;Ludzki;15 mg;Tabletki powlekane;;
100410901;Oxybutyninum Aflofarm;Ludzki;15 mg;Tabletka;;
100411220;Braftovi;Ludzki;15 mg;Tabletki;;
100412343;Aspirin;Ludzki;15 mg;Tabletki powlekane;;
100416536;Pifeltro;Ludzki;15 mg;Tabletki powlekane;;
100418015;Tranxene;Ludzki;15 mg;Kapsułki twarde;;
100420561;Lenalidomide Pharmascience;Ludzki;15 mg;Tabletki powlekane;;
100420957;Fenistil;Ludzki;15 mg;Tabletki;;
100425133;Sildenafil Aurovitas;Ludzki;15 mg;Tabletki powlekane;;
100425222;Flecainide acetate Holsten;Ludzki;15 mg;Tabletki powlekane;;
100425966;Theospirex;Ludzki;15 mg;Kapsułki twarde;;
100428692;Maymetsi;Ludzki;15 mg;Tabletki powlekane;;
100432618;Wellbutrin XR;Ludzki;15 mg;Tabletki powlekane;;
100433374;Aspirin Cardio;Ludzki;15 mg;Kapsułki twarde;;
100433492;Rivaroxaban Ranbaxy;Ludzki;15 mg;Tabletki powlekane;;
100433581;Inhixa;Ludzki;15 mg;Kapsułki twarde;;
100433807;Suganet;Ludzki;15 mg;Tabletki;;
100438265;Histin;Ludzki;15 mg;Tabletki powlekane;;
100438897;Tobrex;Ludzki;15 mg;Tabletki powlekane;;
100441050;Treprostinil Reddy;Ludzki;15 mg;Tabletki powlekane;;
100442172;DoppelSept Gardło;Ludzki;15 mg;Tabletki powlekane;;
100443266;Bisocard;Ludzki;15 mg;Tabletki powlekane;;
100443527;Diclac 50;Ludzki;15 mg;Kapsułki twarde;;
100443622;Xanax;Ludzki;15 mg;Kapsułki twarde;;
100444627;Naloxonum Hydrochloricum WZF;Ludzki;15 mg;Tabletki powlekane;;
100445450;Ramipril+Bisoprolol fumarate Sandoz;Ludzki;15 mg;Roztwór do nakrapiania;;
100446260;Levofree;Ludzki;15 mg;Tabletki powlekane;;
100446313;Metformin hydrochloride STADA;Ludzki;15 mg;Tabletki;;
100447264;Lesiplus;Ludzki;15 mg;Tabletki powlekane;;
100447620;Epclusa;Ludzki;15 mg;Roztwór do nakrapiania;;
100449470;Vildagliptin + Metformin hydrochloride +pharma;Ludzki;15 mg;Tabletki powlekane;;
100451281;Cilozek;Ludzki;15 mg;Tabletki powlekane;;
100451449;Ramidilan HCT;Ludzki;15 mg;Tabletki o przedłużonym uwalnianiu;;
100451841;HEVASCOL;Ludzki;15 mg;Kapsułki twarde;;
100452524;Lecalpin;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100453155;Floxal;Ludzki;15 mg;Tabletki powlekane;;
100454861;Krusaxyl;Ludzki;15 mg;Kapsułki twarde;;
100455576;Nolpaza 40 mg tabletki dojelitowe;Ludzki;15 mg;Kapsułki twarde;;
100456728;Voltaren Sport;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100456858;Verquvo;Ludzki;15 mg;Tabletki powlekane;;
100457783;ApoMigra;Ludzki;15 mg;Tabletki powlekane;;
100458792;Venlafaxine Teva;Ludzki;15 mg;Kapsułki twarde;;
100463270;Remsima;Ludzki;15 mg;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100464702;Diclac 50;Ludzki;15 mg;Kapsułki twarde;;
100465176;Bisocard;Ludzki;15 mg;Tabletki powlekane;;
100465810;Dalacin;Ludzki;15 mg;Tabletki powlekane;;
100465940;Okedi;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100466276;Desmopressin Aristo;Ludzki;15 mg;Tabletki powlekane;;
100466342;Menopur;Ludzki;15 mg;Tabletki powlekane;;
100466399;Ohecon;Ludzki;15 mg;Tabletki powlekane;;
100467155;Tramal Retard 150;Ludzki;15 mg;Tabletka;;
100467891;ApoMigra;Ludzki;15 mg;Kapsułki twarde;;
100468157;Gynoxin Uno;Ludzki;15 mg;Kapsułki twarde;;
100468346;Belogent;Ludzki;15 mg;Tabletka do rozgryzania i żucia;;
100468476;Saridon;Ludzki;15 mg;Tabletki;;
100468788;Breyanzi;Ludzki;15 mg;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100470057;TEKCIS;Ludzki;15 mg;Tabletki powlekane;;
100470597;Mirtor;Ludzki;15 mg;Kapsułki twarde;;
100471535;Fypalan;Ludzki;15 mg;Kapsułki twarde;;
100471672;Cloxacillin Polpharma;Ludzki;15 mg;Proszek do sporządzania koncentratu roztworu do infuzji;;
100472036;Adenocor;Ludzki;15 mg;Tabletki powlekane;;
100473136;Levosimendan Reig Jofre;Ludzki;15 mg;Tabletki powlekane;;
100474145;Ralik;Ludzki;15 mg;Kapsułki twarde;;
100474744;Isoptin 40;Ludzki;15 mg;Kapsułki twarde;;
100474828;Celdoxome pegylated liposomal;Ludzki;15 mg;Kapsułki twarde;;
100475596;Budipulmi;Ludzki;15 mg;Tabletki powlekane;;
100475655;Escitil;Ludzki;15 mg;Tabletki powlekane;;
100476905;Nintedanib Zentiva;Ludzki;15 mg;Proszek do sporządzania koncentratu roztworu do infuzji;;
100477740;Rytmonorm 300;Ludzki;15 mg;Tabletki powlekane;;
100478181;Excedrin MigraStop;Ludzki;15 mg;Tabletki powlekane;;
100478780;Tamsulosin Medical Valley;Ludzki;15 mg;Kapsułki twarde;;
100479021;Dimethyl Fumarate Teva;Ludzki;15 mg;Kapsułki twarde;;
100480666;Mirtazapine Bluefish;Ludzki;15 mg;Tabletki;;
100481174;Fervex Junior;Ludzki;15 mg;Tabletki powlekane;;
100481513;Tiapridal;Ludzki;15 mg;Tabletki powlekane;;
100481690;Apremilast Krka;Ludzki;15 mg;Tabletki powlekane;;
100482137;Airiam;Ludzki;15 mg;Kapsułki twarde;;
100483342;Tardyferon;Ludzki;15 mg;Tabletki powlekane;;
100483654;Alurazen;Ludzki;15 mg;Kapsułki twarde;;
100483941;Rivaroxaban Polpharma;Ludzki;15 mg;Tabletki o przedłużonym uwalnianiu;;
100484221;Adehader;Ludzki;15 mg;Tabletka;;
100487150;Pralex;Ludzki;15 mg;Tabletki powlekane;;
100490300;Rupafin;Ludzki;15 mg;Tabletki powlekane;;
100494452;Elvanse;Ludzki;15 mg;Tabletki ulegające rozpadowi w jamie ustnej;;
100494536;Tikozek;Ludzki;15 mg;Tabletki powlekane;;
100495005;Agapurin SR 400;Ludzki;15 mg;Tabletki;;
100495552;Xolair;Ludzki;15 mg;Tabletki powlekane;;
100502500;Dasatinib Accord Healthcare;Ludzki;15 mg;Tabletki powlekane;;
100503221;Dimethyl fumarate Medical Valley;Ludzki;15 mg;Tabletki powlekane;;
100506826;Atorvastatin Genoptim MED;Ludzki;15 mg;Tabletki powlekane;;
100507751;Clatra;Ludzki;15 mg;Roztwór do wstrzykiwań;;
100508108;Beto 25 ZK;Ludzki;15 mg;Tabletki powlekane;;
100508245;Beto 50 ZK;Ludzki;15 mg;Tabletki powlekane;;
100508311;Mirena;Ludzki;15 mg;Tabletki powlekane;;
100510471;Colistimethate Accord;Ludzki;15 mg;Kapsułki twarde;;
100510509;Libmyris;Ludzki;15 mg;Kapsułki twarde;;
100511910;CitraFleet;Ludzki;15 mg;Kapsułki twarde;;
100513180;Fervex Junior;Ludzki;15 mg;Tabletki powlekane;;
100513666;Obodence;Ludzki;15 mg;Tabletka do rozgryzania i żucia;;
100515522;Kostaive;Ludzki;15 mg;Tabletki powlekane;;
100517649;Broncho-Vaxom;Ludzki;15 mg;Tabletki powlekane;;
100520450;Skyrizi;Ludzki;15 mg;Tabletki powlekane;;
100521294;Mindetra;Ludzki;15 mg;Tabletki;;
100522011;Cartexan;Ludzki;15 mg;Tabletki powlekane;;
100522036;Thyrozol;Ludzki;15 mg;Tabletki;;
100523931;Hidrasec 30 mg;Ludzki;15 mg;Kapsułki twarde;;
100525999;Spikevax LP.8.1;Ludzki;15 mg;Tabletki powlekane;;
100526443;Bupropion Neuraxpharm;Ludzki;15 mg;Kapsułki twarde;;
100529151;Dalacin;Ludzki;15 mg;Tabletki powlekane;;
100532810;Inluriyo;Ludzki;15 mg;Tabletki powlekane;;
100532859;GalenVita;Ludzki;15 mg;Tabletki powlekane;;
100532957;Sinupret;Ludzki;15 mg;Tabletki powlekane;;
100536394;Kygevvi;Ludzki;15 mg;Tabletki powlekane;;
100423476;Lorinden A;Ludzki;15 mg + 10 mg;Tabletki powlekane;;
100508707;Tamivil;Ludzki;15 mg + 10 mg;Tabletki;;
100427965;Anacard protect;Ludzki;15 mg + 100 mg;Tabletki powlekane;;
100430743;Lenalidomide Zentiva;Ludzki;15 mg + 2,5 mg;Roztwór do nakrapiania;;
100066898;Timoptic 0,5%;Ludzki;15 mg + 300 mg;Tabletki;;
100383707;Berinert 3000;Ludzki;15 mg + 4,35 mg + 11,8 mg;Kapsułki twarde;;
100401463;Rivaroxaban Polpharma;Ludzki;15 mg + 6,14 mg;Tabletki powlekane;;
100391078;Konaten;Ludzki;15 mg + 60 mg;Roztwór do nakrapiania;;
100332791;Trulicity;Ludzki;15 mg + 850 mg;Tabletki powlekane;;
100448826;Sunitinib Accord;Ludzki;15 mg + 92 mg;Kapsułki o zmodyfikowanym uwalnianiu, twarde;;
100121137;Bisocard;Ludzki;15 mg glukofrangulin w przeliczeniu na glukofrangulinę A;Kapsułki twarde;;
100412366;Triderm;Ludzki;15 mg/ 20 mg;Tabletki powlekane;;
100314340;Izba;Ludzki;15 mg/ ml;Zawiesina doustna;;
100438561;Tullex;Ludzki;15 mg/0,25 ml;Roztwór do nakrapiania;;
100294530;Artelac;Ludzki;15 mg/1,5 ml;Roztwór do wstrzykiwań;;
100391351;Zonisamidum Neuraxpharm;Ludzki;15 mg/1,5 ml;Roztwór do wstrzykiwań;;
100217908;Binocrit;Ludzki;15 mg/16 h;System transdermalny;;
100524047;Eiyzey;Ludzki;15 mg/16 mg;Granulat;;
100044810;Mukolina;Ludzki;15 mg/2 ml;Roztwór do nebulizacji;;
100407767;Axoprofen Forte;Ludzki;15 mg/20 mg;Tabletki powlekane;;
100425239;Flecainide acetate Holsten;Ludzki;15 mg/20 mg;Tabletki powlekane;;
100469225;Sildenafil Dr. Max;Ludzki;15 mg/20 mg;Tabletki powlekane;;
100472075;Neorelium;Ludzki;15 mg/20 mg;Tabletki powlekane;;
100004609;Ambrosol Teva;Ludzki;15 mg/5 ml;Syrop;;
100045005;Canespor;Ludzki;15 mg/5 ml;Syrop;;
100092223;Zinnat;Ludzki;15 mg/5 ml;Syrop;;
100219468;Alfabax;Ludzki;15 mg/5 ml;Syrop;;
100285146;Xalkori;Ludzki;15 mg/5 ml;Syrop;;
100288363;Esogasec;Ludzki;15 mg/5 ml;Syrop;;
100289760;Buscofem;Ludzki;15 mg/5 ml;Syrop;;
100324930;Tobrex;Ludzki;15 mg/5 ml;Roztwór doustny;;
100354077;Atorvastatin Aurovitas;Ludzki;15 mg/5 ml;Syrop;;
100364443;Neoparin;Ludzki;15 mg/5 ml;Syrop;;
100471476;Vortioxetine Stada;Ludzki;15 mg/5 ml;Syrop;;
100018050;Dermovate;Ludzki;15 mg/g;Puder leczniczy;;
100193970;Humulin M3 (30/70);Ludzki;15 mg/g;Krople do oczu, roztwór;;
100522414;Nizoral;Ludzki;15 mg/g;Krem;;
100112530;Betaferon;Ludzki;15 mg/g (1,5%);Szampon leczniczy;;
100371667;Atorvastatin Bluefish AB;Ludzki;15 mg/g (1,5%);Szampon leczniczy;;
100371680;Atorvastatin Bluefish AB;Ludzki;15 mg/g (1,5%);Szampon leczniczy;;
100241189;Injectio Glucosi 5% Baxter;Ludzki;15 mg/ml;Zawiesina doustna;;
100314698;Lapixen;Ludzki;15 mg/ml;Zawiesina doustna;;
100353592;Hascovir control MAX;Ludzki;15 mg/ml;Szampon leczniczy;;
100355763;Ivabradine Anpharm;Ludzki;15 mg/ml;Szampon leczniczy;;
100391807;Otinum;Ludzki;15 mg/ml;Zawiesina doustna;;
100404243;Mizetam;Ludzki;15 mg/ml;Zawiesina doustna;;
100413466;Femoston;Ludzki;15 mg/ml;Krople doustne, roztwór;;
100466178;Daxanlo;Ludzki;15 mg/ml;Proszek do sporządzania zawiesiny doustnej;;
100471444;Atmina;Ludzki;15 mg/ml;Roztwór do wstrzykiwań;;
100477627;Trimbow;Ludzki;15 mg/ml;Roztwór do wstrzykiwań;;
100525000;Dorin;Ludzki;15 mg/ml;Zawiesina doustna;;
100533661;Skinoren;Ludzki;15 mg/ml;Zawiesina doustna;;
100539564;Acnatac;Ludzki;15 mg/ml;Zawiesina doustna;;
100478324;Maxitrol;Ludzki;"15 mg; 20 mg";Tabletki powlekane;;
100483693;Tibsovo;Ludzki;"15 mg; 20 mg";Kapsułki twarde;;
100515547;Logest;Ludzki;"15 mg; 20 mg";Tabletki powlekane;;
100490690;Cholinex Direct smak cytrynowy;Ludzki;"15 mg; 20mg";Tabletki powlekane;;
100377902;uroFuraginum Max;Ludzki;"15 mg; 45 mg";Tabletki;;
100017701;Depakine;Ludzki;15% + 0,34% + 0,32%;Żel do stosowania na dziąsła;;
100321913;Sabal Serrulata;Ludzki;15% + 0,34% + 0,32%;Żel do stosowania na dziąsła;;
100437640;Midazolam B. Braun;Ludzki;15% + 0,34% + 0,32%;Żel do stosowania na dziąsła;;
100438437;Cefotaxime Dali Pharma;Ludzki;15% + 0,34% + 0,32%;Żel do stosowania na dziąsła;;
100485893;Apixaban Olpha;Ludzki;15% + 0,34% + 0,32%;Żel do stosowania na dziąsła;;
100242480;Valsartan + hydrochlorothiazide Krka;Ludzki;15,1 mg / 1 ml + 1505 IU / 1 ml + 1,11 mg / 1 ml;Krople do uszu, zawiesina;;
100015814;Amiokordin;Ludzki;15,7 mg;Tabletki drażowane;;
100084382;Lamitrin S;Ludzki;150 - 220 mg;Tabletki dojelitowe;;
100411131;Treosulfan Zentiva;Ludzki;150 IU FSH + 150 IU LH;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;
100365520;Ibured;Ludzki;150 j.m.;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;
100341175;Dulsevia;Ludzki;150 j.m./0,18 ml (833 j.m./ml);Roztwór do wstrzykiwań;;
100474106;Avoclod;Ludzki;150 j.m./0,24 ml (44 mcg/0,24 ml);Roztwór do wstrzykiwań we wstrzykiwaczu;;
100352316;Spironol;Ludzki;150 j.m./0,25 ml;Roztwór do wstrzykiwań;;
100096238;Estrofem mite;Ludzki;150 mcg;Tabletki;;
100122639;Megalia;Ludzki;150 mcg;Tabletki;;
100244220;Krople żołądkowe z papaweryną (Fortestomachicae);Ludzki;150 mcg;Proszek do inhalacji w kapsułkach twardych;;
100259166;Flucon;Ludzki;150 mcg;Roztwór do wstrzykiwań;;
100288587;Oekolp forte;Ludzki;150 mcg;Proszek do inhalacji w kapsułkach twardych;;
100288937;Efferalgan Codeine;Ludzki;150 mcg;Proszek do inhalacji w kapsułkach twardych;;
100427712;Bijuva;Ludzki;150 mcg;Tabletki;;
100428545;Boncel 25 000 j.m.;Ludzki;150 mcg;Tabletki;;
100430714;Aspirin C;Ludzki;150 mcg;Tabletki;;
100431872;Solvetusan;Ludzki;150 mcg;Roztwór doustny w pojemniku jednodawkowym;;
100437739;Dentinox N;Ludzki;150 mcg;Tabletki;;
100465242;Rocuronium Aguettant;Ludzki;150 mcg;Tabletki;;
100496190;Bisocard;Ludzki;150 mcg;Roztwór do wstrzykiwań we wstrzykiwaczu;;
100064072;Streptomycinum TZF;Ludzki;150 mcg + 30 mcg;Tabletki drażowane;;
100365879;Tadilecto;Ludzki;"150 mcg + 30 mcg (tabl. różowa); 10 mcg (tabl. biała)";Tabletki powlekane;;
100127275;Apidra;Ludzki;150 mcg/0,3 ml (500 mcg/ml);Roztwór do wstrzykiwań;;
100157508;Pasta cynkowa;Ludzki;150 mcg/0,3 ml (500 mcg/ml);Roztwór do wstrzykiwań;;
100018362;Pabi-Dexamethason;Ludzki;150 mcg/ml;Krople doustne, roztwór;;
100025669;Garamycin;Ludzki;150 mcg/ml;Roztwór do wstrzykiwań;;
100484936;Medi-MIBI;Ludzki;150 mcg/ml;Krople doustne, roztwór;;
100336984;Marelim;Ludzki;150 mcl/ml;Gaz i rozpuszczalnik do sporządzania dyspersji do wstrzykiwań / do infuzji;;
100000250;Aprovel;Ludzki;150 mg;Tabletki;;
100008487;Neoazarina;Ludzki;150 mg;Tabletki powlekane;;
100014476;Ciprinol;Ludzki;150 mg;Pastylki twarde;;
100016950;Dalacin T;Ludzki;150 mg;Kapsułki;;
100017380;Deflegmin Baby;Ludzki;150 mg;Tabletki powlekane;;
100021312;Fervex ból i gorączka C Plus;Ludzki;150 mg;Czopki doodbytnicze;;
100028188;Haloperidol WZF;Ludzki;150 mg;Globulki;;
100045206;Naclof;Ludzki;150 mg;Tabletki powlekane;;
100054381;Polopiryna Max;Ludzki;150 mg;Tabletki powlekane;;
100056428;Szyszka Chmielu;Ludzki;150 mg;Tabletki powlekane;;
100057468;Reasec;Ludzki;150 mg;Tabletki powlekane;;
100057706;Carbomedac;Ludzki;150 mg;Tabletki powlekane;;
100058440;Rispolept;Ludzki;150 mg;Kapsułki twarde;;
100077330;Dipeptiven;Ludzki;150 mg;Tabletki dojelitowe;;
100083610;Amlozek;Ludzki;150 mg;Tabletki powlekane o przedłużonym uwalnianiu;;
100083626;Xanax SR;Ludzki;150 mg;Kapsułki twarde;;
100083810;Esmeron;Ludzki;150 mg;Tabletki o przedłużonym uwalnianiu;;
100086369;Diclofenac Teva;Ludzki;150 mg;Tabletki o zmodyfikowanym uwalnianiu;;
100091123;Ultiva;Ludzki;150 mg;Tabletki o zmodyfikowanym uwalnianiu;;
100094699;Tussal Antitussicum;Ludzki;150 mg;Kapsułki twarde;;
100094802;Lyrica;Ludzki;150 mg;Tabletki powlekane o przedłużonym uwalnianiu;;
100095121;Oxytocin-Grindex;Ludzki;150 mg;Kapsułki o przedłużonym uwalnianiu, twarde;;
100096741;Staloral;Ludzki;150 mg;Tabletki powlekane;;
100097829;Fraxodi;Ludzki;150 mg;Kapsułki twarde;;
100100017;Concor Cor 10;Ludzki;150 mg;Proszek do sporządzania koncentratu roztworu do infuzji;;
100102111;Ascorgem;Ludzki;150 mg;Pastylki twarde;;
100103932;Sumamigren;Ludzki;150 mg;Tabletki powlekane;;
100106474;Furosemidum Polfarmex;Ludzki;150 mg;Tabletki o przedłużonym uwalnianiu;;
100109780;Naproxen Aflofarm;Ludzki;150 mg;Tabletki powlekane;;
100110116;Cipronex;Ludzki;150 mg;Tabletki o zmodyfikowanym uwalnianiu;;
100111162;Poltram Retard 200;Ludzki;150 mg;Tabletki o przedłużonym uwalnianiu;;
100119488;Polhumin MIX-2;Ludzki;150 mg;Tabletki powlekane;;
100124845;Paracetamol Aflofarm;Ludzki;150 mg;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;
100126436;Zyprexa Velotab;Ludzki;150 mg;Kapsułki twarde;;
100134016;Miansec 30;Ludzki;150 mg;Kapsułki twarde;;
100141393;Propranolol Accord;Ludzki;150 mg;Tabletki powlekane;;
100141660;Kora dębu;Ludzki;150 mg;Tabletki powlekane;;
100148194;Mucokehl D5;Ludzki;150 mg;Tabletki powlekane;;
100158376;Lipanthyl Supra 215 mg;Ludzki;150 mg;Tabletki powlekane;;
100166890;Cialis;Ludzki;150 mg;Kapsułki o przedłużonym uwalnianiu, twarde;;
100180080;Epoetin alfa Hexal;Ludzki;150 mg;Tabletki;;
100181286;Formetic;Ludzki;150 mg;Tabletki o zmodyfikowanym uwalnianiu;;
